S/N,X (km),Y (km),Rock type,Land use,Cd (ppm),Cu (ppm),Pb (ppm),Co (ppm),Cr (ppm),Ni (ppm),Zn (ppm),,Rock type,
52,3.331,4.609,5,3,1.255,49.6,80.4,7,42.8,25.44,101.6,,,
53,3.541,1.739,3,4,2.055,10.8,43.6,6.32,29.8,20.8,59.36,,,
54,3.303,3.963,3,3,1.22,51.6,80.8,11,34.04,20.32,90,,,
55,3.316,2.987,5,3,0.975,30.1,48.8,14.6,33,23.6,83.2,,,
56,1.879,1.171,1,3,0.465,23.32,54.8,4,24.64,9.16,44.4,,,
57,1.122,2.267,2,3,1.145,14.8,47.6,11.08,37.08,31.56,74.4,,,
58,4.423,1.078,5,3,1.525,22,46.8,16.92,38.6,26.8,87.6,,,
59,1.241,1.155,1,1,1.455,7.28,36.52,4.52,20.2,12.68,39.6,,,
60,1.706,1.848,3,3,1.12,20.72,41.2,11.92,34.84,19.96,83.2,,,
61,3.26,5.42,2,3,1.819,17.2,35.8,11.72,38.04,28.6,82.4,,,
62,4.081,0.897,5,3,0.495,14.32,32.76,11.2,22.4,10.92,50.4,,,
63,3.077,2.926,2,2,2.12,12.32,42.4,10.12,35.32,21.52,64.8,,,
64,3.406,4.741,5,2,2.15,28.96,42.8,7.32,48,19.72,120.8,,,
65,3.699,3.8,2,3,0.65,35.56,80.8,11.6,27.44,19.28,74,,,
66,1.619,2.883,3,3,0.84,22.84,50.4,6.8,30.56,16.08,58.8,,,
67,3.196,1.814,2,1,3.925,47.4,84.16,12.92,25.6,26.12,92.36,,,
68,3.447,4.733,5,2,1.98,27.12,39.92,8.4,40.8,17.68,108,,,
69,3.009,4.738,1,3,0.45,12.44,34,3.53,25.64,10,39.4,,,
70,3.452,4.736,5,2,2.96,38.96,70.4,7.2,45.2,15,148.4,,,
71,2.908,1.263,1,3,1.685,9.4,34.56,9.84,31.28,14.72,84.32,,,
72,4.578,1.512,2,3,1.305,17.5,38.96,13.52,45.52,27.2,77.6,,,
73,3.512,5.124,1,2,4.227,16.88,34.64,9.64,48.4,22.92,136.8,,,
74,3.312,2.991,5,3,0.98,22.7,41.6,12.52,32.6,19.4,72.8,,,
75,2.159,2.041,2,3,1.57,17.44,49.6,10.44,37.72,28.32,81.6,,,
76,4.742,1.381,2,3,0.86,15.12,32.84,11.88,32.72,23.48,63.6,,,
77,3.592,4.037,3,2,2.17,12.52,37.68,10.84,55.2,29.48,74.4,,,
78,3.152,3.272,2,3,1.56,34,76.4,12.8,42.6,23.52,94,,,
79,4.781,1.375,2,3,0.81,12.08,36.28,10.88,27.44,20.84,58.8,,,
80,2.319,2.405,5,3,1.71,56.24,104.68,12.84,43.4,26.96,125.4,,,
81,3.617,2.084,2,3,0.845,27.92,78.8,12.8,33.72,26.2,79.6,,,
82,2.278,0.929,1,3,0.357,13.24,35.4,4.08,19.36,6.56,46.8,,,
83,3.792,2.695,2,1,1.535,5.88,55.2,6.76,20.32,13.4,52.4,,,
84,4.113,2.7,2,1,1.285,13.64,84.4,1.55,8.72,7.16,65.2,,,
85,3.043,4.698,1,3,1.82,7.6,27.04,3.92,27.36,10.44,39.8,,,
86,3.271,2.16,5,3,0.945,37.4,59.04,13.32,37.8,32.6,104.36,,,
87,1.433,1.525,5,3,1.605,13.48,49.6,7.36,67.6,16.2,75.2,,,
88,3.184,2.098,2,3,2.23,24.6,44.88,11.92,37.8,37.72,96.6,,,
89,3.675,4.293,3,2,0.89,4.4,26.76,8.6,37.68,22.96,66,,,
90,3.681,5.69,2,2,1.898,15.16,59.2,12.64,54,28.36,86,,,
91,2.461,3.423,5,4,0.37,15.72,29.36,3.14,22.6,6.08,47.2,,,
92,4.576,1.411,2,3,1.38,15.64,34.44,11.28,37.6,25.76,71.6,,,
93,2.223,0.58,2,3,0.285,14.16,44,9.6,38,24.52,76,,,
94,3.031,1.201,3,3,0.61,16.4,52.56,6.44,21.84,10.36,51.24,,,
95,3.347,2.505,2,1,0.625,5.36,41.2,6.96,33.2,19.2,43.6,,,
96,2.465,4.003,1,3,0.325,9.72,24.64,3.19,21.4,4.72,35.08,,,
97,3.175,2.102,2,3,1.985,18.92,42.68,12.2,38.4,37.2,89.84,,,
98,3.733,0.974,2,3,0.95,15.4,36.6,8.92,40.8,26.52,74,,,
99,3.085,1.677,2,3,2.04,26.2,63.92,11.8,40.4,29.8,107.2,,,
100,2.595,3.638,5,3,0.325,17.52,44.4,3.71,14.52,4.76,40.8,,,
101,4.279,3.283,2,3,0.83,19.2,36.36,13.36,33.6,24.64,84.4,,,
102,2.933,0.978,3,2,0.8,166.4,146.8,12.4,31.44,16,100.4,,,
103,3.59,4.033,3,2,2.08,11.52,37.56,7.92,56.4,24.84,79.6,,,
104,2.883,1.237,1,3,2.55,12.12,36.56,8.52,31.24,16.12,96.96,,,
105,2.429,1.62,3,3,2.535,31.96,77.6,11.84,52.4,26.64,126.8,,,
106,2.333,2.417,5,3,1.435,53.2,107.6,9.12,37.44,21.32,110.32,,,
107,0.626,1.652,2,1,0.375,4.2,37.12,7.28,33.32,14.4,46.4,,,
108,2.969,0.778,2,2,1.93,77.32,157.28,12.44,43.04,33.76,166.28,,,
109,0.971,1.576,3,3,1.215,9.8,35.64,10.08,29.28,15.2,64,,,
110,1.392,1.846,3,3,1.05,7.44,37.68,10.6,39.24,20,48.4,,,
111,2.54,3.32,3,3,1.26,17.2,53.6,9.76,45.32,17.6,62.8,,,
112,1.738,1.771,3,3,0.685,19.64,41.6,11.92,33.64,16.24,76,,,
113,2.243,3.031,3,3,0.705,19.2,34,11.8,29.92,14.6,59.88,,,
114,3.656,2.63,2,1,1.385,9.23,80.4,2.07,9.72,5.36,49.2,,,
115,2.325,4.143,1,3,0.505,14,33.24,5.48,34,10.92,54.4,,,
116,4.55,1.416,2,3,1.74,18.1,41.6,12.4,44.32,27.72,73.6,,,
117,4.325,1.436,5,3,0.56,19.4,36.76,11.6,26.92,13.72,57.2,,,
118,3.669,4.291,3,2,1.917,8.4,35.12,8.44,33.48,18.72,59.6,,,
119,1.877,1.186,1,3,0.32,26.16,45.2,3.8,18.2,6.44,39.88,,,
120,3.044,1.123,3,3,0.63,18.04,38.24,12,31.28,18.68,80.76,,,
121,3.001,2.581,2,2,4.18,8.2,42.04,9.6,45.32,22.2,81.72,,,
122,3.136,2.091,2,3,1.11,17.92,38.72,14.2,34.8,30.32,79,,,
123,2.633,3.65,5,3,0.425,16.2,50.4,3.09,22.12,5.04,61.6,,,
124,3.721,4.239,3,3,0.28,18,41.2,8,25.96,12.28,46.4,,,
125,2.333,2.367,5,3,1.39,59.16,101.92,12.36,42.12,28.2,135.88,,,
126,4.038,2.354,4,1,2.805,10.5,44,12.2,39.2,32.92,65.6,,,
127,3.117,1.702,2,3,1.71,30,58.6,14.12,42.8,35,106.36,,,
128,1.824,0.999,1,3,0.165,23.64,56.4,3.75,18.6,7.08,44,,,
129,2.85,1.89,2,1,1.36,8.68,53.6,2.81,10.76,7.08,28.88,,,
130,2.502,3.988,1,3,0.24,20.72,22.36,3.76,18.92,5.2,32.24,,,
131,1.443,1.509,5,3,1.445,15.4,50.8,7.76,61.2,20.68,75.6,,,
132,2.008,1.35,1,3,0.515,16.04,35.04,5,32.56,8.96,50.4,,,
133,2.978,4.009,5,3,0.56,8.35,25.4,6.52,24.4,12.4,49.2,,,
134,1.662,1.425,3,3,0.905,44.4,82,11.24,37.4,16.56,78.4,,,
135,1.587,1.08,1,3,0.605,26.24,54,5.16,29.28,11.44,54,,,
136,3.994,3.814,5,3,2.423,32.52,80.4,14.48,45.6,28.32,84,,,
137,4.383,2.279,2,1,0.785,6.72,43.6,7.84,35.92,22.72,60.8,,,
138,2.901,4.919,1,1,0.81,5.48,28.8,4.64,28.6,14.92,42,,,
139,4.156,1.242,4,2,1.1,5.72,32.48,7.84,32.2,17.92,44,,,
140,4.475,3.526,2,4,0.951,38.96,78.8,15.28,29.24,20.36,70.8,,,
141,2.58,3.654,5,3,0.275,7.48,20.2,3.55,16.2,4.64,33.44,,,
142,0.701,1.997,3,1,1.58,9.84,64.8,12.6,60.8,32.2,86,,,
143,3.649,3.887,2,3,1.06,26.44,51.2,11.48,41.6,29.24,80.8,,,
144,2.623,0.853,3,3,2.58,29.24,59.2,11.64,45.2,27.36,106.4,,,
145,1.315,1.975,3,2,3.68,14.44,56.4,11.12,52,28.72,89.6,,,
146,3.656,2.67,2,1,1.875,9.52,70,11.12,36.12,25.4,65.2,,,
147,4.426,0.821,2,2,0.805,8.76,27.2,13,48.32,26,61.6,,,
148,2.882,3.693,5,3,0.535,8.76,27.04,4.6,20.8,5.4,32.92,,,
149,1.108,1.535,3,2,2.055,60,195.6,8.08,50.4,23.16,108,,,
150,4.84,1.089,2,2,0.555,10.8,36.52,10.28,27.64,19.6,64.8,,,
151,1.468,2.192,3,2,1.51,10.88,44.4,10.92,57.6,30.68,80.4,,,
152,2.319,4.103,1,3,0.58,20.52,34.88,5.48,36,10.92,50.4,,,
153,3.585,4.04,3,2,1.97,24.64,66,8,51.2,25.76,99.2,,,
154,3.647,3.786,2,3,0.765,42,70.8,13.84,29.72,20.96,90.8,,,
155,2.31,2.732,2,2,0.735,17.68,39.2,12.72,39,23.24,79.04,,,
156,3.962,2.009,2,3,1.445,42.92,78.4,12.4,43.52,34.4,104.4,,,
157,3.47,5.555,2,2,2.234,12.52,48.4,13.48,45.2,29.68,64,,,
158,1.839,0.995,1,3,0.225,27.72,55.6,4.24,24.88,10.12,56,,,
159,1.706,1.165,1,3,0.74,25.52,60.8,4.36,20.4,8.68,62.4,,,
160,2.774,1.544,3,2,1.915,19.32,45.72,8.44,42.32,20.64,90.24,,,
161,3.493,5.092,1,2,3.421,14.8,34.32,9.8,52.4,20.44,134.4,,,
162,1.695,3.227,1,1,1.835,10.88,56.68,5.88,35.08,21.44,97.48,,,
163,4.409,1.084,5,3,1.77,18.92,48.8,17.32,37.72,27,89.2,,,
164,2.596,3.212,3,2,3.995,15.92,45.16,8.64,49.72,22,118.24,,,
165,1.897,1.22,1,3,0.26,9.24,27,3.48,16.24,4.76,27.2,,,
166,2.083,1.695,2,1,0.44,11.28,56.4,6,29.28,16.68,54.8,,,
167,3.673,4.278,3,2,1.015,7.36,34,9.28,44,19.28,70.4,,,
168,2.731,3.002,2,1,0.485,6.6,32.44,9,27.32,20.92,57.96,,,
169,4.264,3.391,2,3,2.828,79.2,135.2,11.16,32.64,24.96,132.8,,,
170,3.792,2.707,2,1,1.38,6.44,45.6,8.16,26.92,17.12,55.2,,,
171,3.39,1.048,2,2,1.66,24.6,57.28,10.12,42.92,29.32,123.32,,,
172,3.184,5.075,3,3,0.685,11.36,23.68,7.08,33.76,16.32,53.6,,,
173,3.644,2.677,2,1,0.93,6.77,51.2,9.56,37.4,23.12,56.4,,,
174,3.504,5.13,1,2,5.129,14.76,36.8,8.6,39.24,18.28,135.6,,,
175,2.242,3.036,3,3,0.725,17,34.08,10.32,26.32,12.72,56.72,,,
176,3.332,4.628,5,2,0.74,96,59.2,4.52,35.92,17.2,83.2,,,
177,3.498,3.196,2,2,0.99,14.5,36.24,15.12,32.8,22.9,65.6,,,
178,1.883,1.176,1,3,0.195,25.12,49.6,3.92,21.8,7.52,43.2,,,
179,3.322,3.001,5,3,1.34,25.3,44.4,14.32,35,23.12,81.2,,,
180,1.047,1.922,3,2,1.24,18.32,52,14.2,43.6,22.52,83.2,,,
181,3.843,3.121,5,3,1.84,33.32,44.4,10.8,39.52,35.28,86,,,
182,1.301,0.599,3,4,0.91,21.2,64.8,13.24,32.84,18,75.2,,,
183,1.106,1.548,3,2,1.27,19.12,65.2,9.16,52.8,19.44,65.2,,,
184,1.114,1.535,3,2,1.48,106.8,226.4,9.12,58.8,26.16,140.4,,,
185,1.511,0.734,1,2,1.245,22.64,64.4,7.84,47.2,21.96,71.2,,,
186,1.317,1.501,5,3,1.385,120.8,66.4,6.44,42.8,19.64,94.8,,,
187,1.439,1.523,5,3,1.72,16.4,52.4,7.24,54.8,16.52,75.6,,,
188,1.651,1.157,1,4,0.525,26.28,46.4,3.88,20.84,8.36,49.6,,,
189,1.701,1.169,1,3,0.69,17.04,52.4,4.24,23.48,9.04,45.6,,,
190,1.857,0.659,3,2,3.53,66,118,10.08,52.8,24.44,124.8,,,
191,1.346,1.954,3,2,0.93,9,38.12,10.56,39.04,20.24,69.2,,,
192,1.354,1.966,3,2,1.165,8.64,38.32,10.72,43.6,24,59.6,,,
193,1.35,1.97,3,2,3.81,17.92,64.8,10.12,60.8,27.08,102,,,
194,1.932,1.004,1,3,0.135,10.44,37,4.52,15.08,5.24,32.56,,,
195,1.837,1.037,1,3,0.215,23.44,46.8,3.88,23,8.16,44,,,
196,1.69,1.858,3,3,1.775,29.76,54.8,12.96,38.72,22.36,91.6,,,
197,1.72,1.833,3,3,0.585,24.36,50,11.6,31.68,15.96,76.8,,,
198,1.543,2.537,2,3,1.563,26.72,52.4,10.4,45.2,28.72,104,,,
199,2.353,1.274,1,3,0.275,8.24,32.56,4.32,15.4,4.2,37.88,,,
200,1.889,2.462,2,1,2.505,12.16,65.2,10.2,48.4,31.04,78.4,,,
201,2.327,2.417,5,3,1.385,58.72,116.48,9.68,39.72,22.6,123,,,
202,2.504,1.965,2,2,1.79,19.92,62.36,10.44,41.84,25.64,80.32,,,
203,2.599,1.996,2,3,2.115,61.32,172.12,13.16,43.08,53.2,133.88,,,
204,2.561,1.984,2,2,1.63,18.08,63.16,13.56,51.36,42.92,77.4,,,
205,2.898,1.274,1,3,2.7,15.56,38.28,6.52,32.76,15,99.6,,,
206,2.902,1.263,1,3,4.495,10.24,32.92,10.32,39.16,22.64,101.68,,,
207,3.085,1.214,3,3,0.765,37.6,68.4,7.68,18.52,11.28,86.2,,,
208,3.046,1.205,3,3,0.4,9.6,32.76,11.16,21.64,13.36,44,,,
209,3.025,1.201,3,3,0.32,12.92,40.2,5.6,18.52,7.2,43.72,,,
210,2.04,3.153,1,3,0.655,17.2,41.88,5,16.56,8.24,51.24,,,
211,2.234,2.737,2,2,1.11,10.28,47.8,14.6,39.28,24.44,71.12,,,
212,2.22,2.732,2,2,0.77,16,44.4,12.28,43.48,23.88,62.28,,,
213,2.224,2.728,2,2,1.205,11.36,41.04,13.8,46.84,27.44,85.52,,,
214,2.58,2.311,2,2,1.555,15.4,51.24,8.84,40.16,23.92,77.56,,,
215,2.254,3.045,3,3,0.575,31.8,54.28,9.68,27.12,13.2,66.92,,,
216,2.656,2.656,2,3,0.525,79.2,138.56,12.52,26.12,18,91.48,,,
217,3.465,1.393,3,3,0.705,48.72,86.68,12.52,28.72,17.6,96.6,,,
218,2.553,3.314,3,3,0.99,9.28,38,8.8,38.72,15.72,60.12,,,
219,2.538,3.314,3,3,1.655,31.52,90.36,8.96,50.6,17.32,81.6,,,
220,2.402,3.979,1,3,0.515,13.12,26.96,4.08,30.12,8.2,43.2,,,
221,2.456,3.99,1,3,0.35,11.6,27.68,3.27,26.32,4.92,37.16,,,
222,2.537,3.768,1,3,0.23,8.72,26.84,3.79,18.2,5.68,32.08,,,
223,2.584,3.649,5,3,0.305,17.12,48.4,3.72,18,5.6,44.8,,,
224,3.887,1.663,2,3,1.535,29.6,56.8,15.2,40.72,32.4,85.6,,,
225,4.412,1.088,5,3,1.53,17.72,47.6,17.72,39.52,26.4,80.8,,,
226,2.795,3.645,5,3,0.3,13.4,37.76,4.24,17.32,6.32,27.12,,,
227,2.837,3.679,5,3,0.425,4.68,22.56,5.08,22.72,8,31.48,,,
228,2.832,3.676,5,3,0.36,4.44,18.96,6.68,26.12,11.8,28.92,,,
229,3.308,2.963,5,3,1.06,28,50,17.32,36,23.92,78.4,,,
230,3.422,2.851,3,3,0.9,49,70.4,9.52,38.72,26.2,94.8,,,
231,3.692,2.43,2,1,1.61,9.44,42.8,5,19.4,8.76,31.16,,,
232,4.331,1.449,5,3,0.95,19.6,37.88,12,29.2,18.72,61.2,,,
233,4.333,1.455,5,3,0.82,32.1,63.2,10.32,29.8,16.72,67.6,,,
234,4.502,1.167,5,3,0.86,12.7,37.08,12.12,28.4,20.12,61.6,,,
235,3.228,3.617,2,3,1.835,45.92,80.4,13.32,47.4,24,90,,,
236,3.768,2.775,2,1,0.22,6.67,31.88,10.8,26.32,17.52,45.2,,,
237,3.768,2.675,2,1,1.095,6.2,46.8,12.12,41.32,28.8,56.8,,,
238,3.798,2.694,2,1,0.995,5.38,51.2,9.68,32.8,19.12,54,,,
239,4.59,1.414,2,3,0.96,16.4,30.76,11.72,35.2,21.92,64.8,,,
240,4.571,1.407,2,3,1.4,15.24,38.4,10.72,38.64,26.4,70.8,,,
241,4.745,1.372,2,3,0.69,16.44,34.12,11.96,35.64,23.68,66.4,,,
242,4.788,1.647,2,3,0.72,11.4,32.68,8.8,34.08,26.72,63.2,,,
243,2.974,4.937,1,2,2.26,12.64,36.28,5.88,36.44,21.52,77.6,,,
244,2.906,4.922,1,1,1.13,5.92,21.6,4.32,20.32,13.2,32.84,,,
245,3.109,4.729,1,3,0.645,8.4,28.56,3.12,22.68,8.88,42.4,,,
246,3.04,4.713,1,3,0.63,7.24,26,3.66,23.96,9.36,36.64,,,
247,3.919,3.466,5,3,0.86,12.8,28.6,9.76,28.4,17.48,58.8,,,
248,4.189,3.045,4,3,1.645,35.6,67.6,8.08,46.4,20.32,90.4,,,
249,3.652,4.312,3,1,3.149,8.24,56,10.72,51.2,27.72,98,,,
250,3.894,3.805,5,3,0.552,50,91.2,14.32,29,20.12,79.2,,,
251,3.917,3.773,5,3,1.568,18.4,43.6,13.56,30.366,22.28,71.6,,,
252,3.925,3.779,5,3,0.855,11.4,29.68,14.24,29.2,21,59.6,,,
253,4.252,3.292,2,3,0.733,39.2,65.6,11.8,26,22.24,74,,,
254,4.292,3.29,2,3,2.08,71.6,52.8,11.92,31.68,28.64,110.8,,,
255,4.283,3.278,2,3,0.844,21.04,34.68,13.88,37.12,26.48,90,,,
256,3.53,4.999,1,1,0.49,4.64,31.64,7.44,34.52,16.76,56.8,,,
257,4.07,4.157,3,3,1.916,45.6,50,14.36,47.6,28.44,90.8,,,
258,4.61,3.315,2,1,1.384,7.48,48,12.68,30.76,20.72,46.8,,,
259,3.605,5.345,3,3,0.849,18.4,35,9.04,29.48,17.56,58,,,
1,2.672,3.558,5,3,1.57,18.6,38.2,8.28,37.12,18.6,65.2,,,
2,3.589,4.443,1,3,2.045,11.48,33.36,10.8,40.8,21.52,112.8,,,
3,4.01,4.713,1,2,1.203,113.04,26.56,12,53.2,23.92,91.6,,,
4,2.942,3.137,5,2,0.49,5.64,25.88,10.92,23.4,14.6,41.2,,,
5,1.409,2.748,3,3,0.692,10.32,31.16,8.12,27.16,14.64,50.4,,,
6,3.978,2.91,2,1,1.75,8.36,37.72,9.12,35.48,26.4,63.2,,,
7,2.715,2.1,2,1,0.415,4.44,41,9.12,30.32,24.24,53.16,,,
8,3.87,0.762,3,2,0.685,10.92,30.84,11.72,31.92,13.12,49.28,,,
9,2.445,2.521,2,3,0.92,30.28,68.12,10.56,49.04,31.52,102.72,,,
10,3.827,2.219,2,1,2.12,7.35,54.4,6.36,23,14.52,72.4,,,
11,2.488,1.064,1,3,0.495,17.08,46.8,8.52,31.4,16.12,57.6,,,
12,1.646,0.524,2,2,1.06,18.88,55.2,14.44,37.28,25.24,76.4,,,
13,3.136,2.37,4,1,0.79,3.98,35.28,5.2,33.12,14.92,32.6,,,
14,3.74,5.134,1,1,0.772,8.16,30.16,10.84,39.04,24.24,56.8,,,
15,1.678,2.327,3,3,1.188,31.36,72.4,9.68,37.44,22.36,108.4,,,
16,4.399,3.18,4,3,1.615,91.2,108.8,11.96,34.56,30.2,156.8,,,
17,3.935,4.368,3,3,3.023,19.72,45.6,12.76,40.8,25.36,105.2,,,
18,3.33,1.604,3,3,2.315,113.12,144.36,9.92,56.2,25.4,147.4,,,
19,3.557,2.64,2,1,2.65,12.3,54.4,8.84,25.72,18.92,58.4,,,
20,1.376,0.945,1,3,3.78,32.76,94.4,9.68,42.8,23.52,175.2,,,
21,2.024,2.251,3,3,1.805,55.6,142,12.6,38,23.12,124.8,,,
22,3.31,4.594,5,3,1.58,56.4,93.6,5.8,40.4,22.52,108.8,,,
23,4.097,1.798,2,4,1.93,19.3,46.4,13.8,45,35.72,90,,,
24,2.326,3.633,1,3,0.415,18.32,31.92,2.36,20.12,6.28,40.72,,,
25,3.514,4.098,3,2,0.675,9.24,27.24,6.59,26,11.64,50,,,
26,3.168,4.173,1,3,0.745,8.52,30.28,3.94,26.56,15.4,52.4,,,
27,4.292,1.039,5,3,1.42,18.8,36.48,11.12,27.52,20.6,63.2,,,
28,2.834,0.988,3,2,1.425,"13,32",53.6,15.24,49.2,25.56,108.8,,,
29,4.443,1.723,5,2,1.31,17.7,48.4,12.72,34.8,19.6,80.4,,,
30,3.482,2.295,2,2,1.765,127,300,10.32,40.52,30.8,192,,,
31,3.665,4.789,1,3,0.647,9.76,"21,76",8.72,31.12,13.88,60.8,,,
32,4.173,2.144,2,2,1.81,17.9,48.8,13.2,44.12,29.6,92/.8,,,
33,2.143,1.139,1,3,0.394,39.56,105.6,4.44,21.64,8.92,72.4,,,
34,3..061,2.025,2,3,1.6,20.6,35.72,10.92,37.72,25.32,92.64,,,
35,2.985,1.679,2,3,1.675,22.92,61.44,14.4,46.28,43.68,111.08,,,
36,3.438,3.752,2,2,1.28,13.04,43.6,6.36,31,18.6,65.2,,,
37,4.637,0.956,2,3,0.87,16.5,35.32,12.8,33.52,22.52,78.4,,,
38,3.049,5.285,2,1,0.8,7.68,48.4,12.4,49.2,27.16,60.4,,,
39,1.106,1.366,1,3,0.475,22.68,55.2,3.96,22.16,7.92,46.8,,,
40,3.633,2.986,2,3,0.855,25.5,51.6,12.4,32.92,22.32,80.4,,,
41,3.708,3.331,2,2,1.34,10.32,41.2,9.32,28.48,23.28,58,,,
42,2.909,1.334,1,3,1.805,28.92,74.36,6.12,24.8,11.24,111.32,,,
43,2.102,2.597,2,3,0.825,31.2,70.4,15.32,36.52,25.36,75.44,,,
44,1.797,1.215,1,3,0.545,33.08,58,4.24,21.8,8.88,47.2,,,
45,3.255,1.253,3,3,1.78,154.6,239.96,11.4,41,24.52,259.84,,,
46,4.129,3.601,2,1,2.566,7.88,55.2,10.6,32.84,23.6,59.2,,,
47,3.363,3.407,2,2,0.61,7.86,34.84,14.8,28.52,19.32,53.2,,,
48,1.452,1.29,1,3,0.585,15.16,56.4,5.8,39.88,13.2,51.2,,,
49,4.745,3.105,1,1,1.436,14.2,32.68,5.24,19.44,9.52,44.8,,,
50,0.491,1.862,3,1,2.415,21.32,48.4,7.88,32.72,18.16,49.2,,,
51,2.369,2.176,5,3,0.75,73.12,139.16,15.6,29.76,20.2,95.68,,,
52,3.676,1.528,3,3,0.805,38.72,88.32,11.12,32,19.52,88.16,,,
53,1.257,2.057,3,2,0.65,12.8,41.6,11.44,37.08,19.64,52,,,
